year,level_1,level_2,level_3,level_4,value
2015,Total,Total,HDB Dwellings,1- and 2-Room Flats,68.8
2015,Total,Total,HDB Dwellings,3-Room Flats,223.4
2015,Total,Total,HDB Dwellings,4-Room Flats,392.3
2015,Total,Total,HDB Dwellings,5-Room and Executive Flats,295.8
2015,Total,Owner,HDB Dwellings,1- and 2-Room Flats,23.3
2015,Total,Owner,HDB Dwellings,3-Room Flats,211.7
2015,Total,Owner,HDB Dwellings,4-Room Flats,379.6
2015,Total,Owner,HDB Dwellings,5-Room and Executive Flats,287.4
2015,Total,Non-Owner,HDB Dwellings,1- and 2-Room Flats,45.5
2015,Total,Non-Owner,HDB Dwellings,3-Room Flats,11.7
2015,Total,Non-Owner,HDB Dwellings,4-Room Flats,12.7
2015,Total,Non-Owner,HDB Dwellings,5-Room and Executive Flats,8.3
2015,Chinese,Total,HDB Dwellings,1- and 2-Room Flats,41
2015,Chinese,Total,HDB Dwellings,3-Room Flats,169.5
2015,Chinese,Total,HDB Dwellings,4-Room Flats,297
2015,Chinese,Total,HDB Dwellings,5-Room and Executive Flats,228
2015,Chinese,Owner,HDB Dwellings,1- and 2-Room Flats,15.9
2015,Chinese,Owner,HDB Dwellings,3-Room Flats,163.1
2015,Chinese,Owner,HDB Dwellings,4-Room Flats,289
2015,Chinese,Owner,HDB Dwellings,5-Room and Executive Flats,223.2
2015,Chinese,Non-Owner,HDB Dwellings,1- and 2-Room Flats,25.1
2015,Chinese,Non-Owner,HDB Dwellings,3-Room Flats,6.4
2015,Chinese,Non-Owner,HDB Dwellings,4-Room Flats,8.1
2015,Chinese,Non-Owner,HDB Dwellings,5-Room and Executive Flats,4.8
2015,Malays,Total,HDB Dwellings,1- and 2-Room Flats,19.5
2015,Malays,Total,HDB Dwellings,3-Room Flats,28.2
2015,Malays,Total,HDB Dwellings,4-Room Flats,51.8
2015,Malays,Total,HDB Dwellings,5-Room and Executive Flats,31.1
2015,Malays,Owner,HDB Dwellings,1- and 2-Room Flats,5
2015,Malays,Owner,HDB Dwellings,3-Room Flats,27.1
2015,Malays,Owner,HDB Dwellings,4-Room Flats,51
2015,Malays,Owner,HDB Dwellings,5-Room and Executive Flats,30.8
2015,Malays,Non-Owner,HDB Dwellings,1- and 2-Room Flats,14.6
2015,Malays,Non-Owner,HDB Dwellings,3-Room Flats,1.1
2015,Malays,Non-Owner,HDB Dwellings,4-Room Flats,0.8
2015,Malays,Non-Owner,HDB Dwellings,5-Room and Executive Flats,0.3
2015,Indians,Total,HDB Dwellings,1- and 2-Room Flats,7.5
2015,Indians,Total,HDB Dwellings,3-Room Flats,20.6
2015,Indians,Total,HDB Dwellings,4-Room Flats,33.9
2015,Indians,Total,HDB Dwellings,5-Room and Executive Flats,29.1
2015,Indians,Owner,HDB Dwellings,1- and 2-Room Flats,2.1
2015,Indians,Owner,HDB Dwellings,3-Room Flats,17.9
2015,Indians,Owner,HDB Dwellings,4-Room Flats,31.6
2015,Indians,Owner,HDB Dwellings,5-Room and Executive Flats,27.9
2015,Indians,Non-Owner,HDB Dwellings,1- and 2-Room Flats,5.4
2015,Indians,Non-Owner,HDB Dwellings,3-Room Flats,2.8
2015,Indians,Non-Owner,HDB Dwellings,4-Room Flats,2.3
2015,Indians,Non-Owner,HDB Dwellings,5-Room and Executive Flats,1.2
2015,Others,Total,HDB Dwellings,1- and 2-Room Flats,0.8
2015,Others,Total,HDB Dwellings,3-Room Flats,5.1
2015,Others,Total,HDB Dwellings,4-Room Flats,9.6
2015,Others,Total,HDB Dwellings,5-Room and Executive Flats,7.6
2015,Others,Owner,HDB Dwellings,1- and 2-Room Flats,0.3
2015,Others,Owner,HDB Dwellings,3-Room Flats,3.7
2015,Others,Owner,HDB Dwellings,4-Room Flats,8
2015,Others,Owner,HDB Dwellings,5-Room and Executive Flats,5.5
2015,Others,Non-Owner,HDB Dwellings,1- and 2-Room Flats,0.5
2015,Others,Non-Owner,HDB Dwellings,3-Room Flats,1.4
2015,Others,Non-Owner,HDB Dwellings,4-Room Flats,1.6
2015,Others,Non-Owner,HDB Dwellings,5-Room and Executive Flats,2
